"10.22.23.10","8443","REST","Prod","10019776","QuickstartZA","ukprod031","","10.22.28.17:443:vs_10018912_intyirestmaster_restint_https:external:p_8_10_8443;10.22.28.49:443:vs_10019156_quickstartuk_rest_int_https:external:p_8_10_8443;10.22.28.74:443:vs_10020268_sdg-quickstartuk_rest_int_https:external:p_8_10_8443;10.22.28.78:443:vs_10020248_ukyi-sdg-channel_rest_int_https:external:p_8_10_8443;169.50.93.100:443:vs_10018912_intyirestmaster_rest_https:external:p_8_10_8443;169.50.93.115:443:vs_10019156_quickstartuk_rest_https:external:p_8_10_8443;185.150.176.107:443:vs_10020248_ukyi-sdg-channel_rest_https:external:p_8_10_8443;185.150.176.90:443:vs_10020268_sdg-quickstartuk_rest_https:external:p_8_10_8443",\N,"UP"
"10.22.23.10","8443","REST","Prod","10020248","UKYI","ukprod031","","10.22.28.17:443:vs_10018912_intyirestmaster_restint_https:external:p_8_10_8443;10.22.28.49:443:vs_10019156_quickstartuk_rest_int_https:external:p_8_10_8443;10.22.28.74:443:vs_10020268_sdg-quickstartuk_rest_int_https:external:p_8_10_8443;10.22.28.78:443:vs_10020248_ukyi-sdg-channel_rest_int_https:external:p_8_10_8443;169.50.93.100:443:vs_10018912_intyirestmaster_rest_https:external:p_8_10_8443;169.50.93.115:443:vs_10019156_quickstartuk_rest_https:external:p_8_10_8443;185.150.176.107:443:vs_10020248_ukyi-sdg-channel_rest_https:external:p_8_10_8443;185.150.176.90:443:vs_10020268_sdg-quickstartuk_rest_https:external:p_8_10_8443",\N,"UP"
"10.22.23.10","8443","REST","Prod","10020268","QuickstartUK2","ukprod031","","10.22.28.17:443:vs_10018912_intyirestmaster_restint_https:external:p_8_10_8443;10.22.28.49:443:vs_10019156_quickstartuk_rest_int_https:external:p_8_10_8443;10.22.28.74:443:vs_10020268_sdg-quickstartuk_rest_int_https:external:p_8_10_8443;10.22.28.78:443:vs_10020248_ukyi-sdg-channel_rest_int_https:external:p_8_10_8443;169.50.93.100:443:vs_10018912_intyirestmaster_rest_https:external:p_8_10_8443;169.50.93.115:443:vs_10019156_quickstartuk_rest_https:external:p_8_10_8443;185.150.176.107:443:vs_10020248_ukyi-sdg-channel_rest_https:external:p_8_10_8443;185.150.176.90:443:vs_10020268_sdg-quickstartuk_rest_https:external:p_8_10_8443",\N,"UP"
"10.22.23.11","8643","REST","Prod","10018988","ING NED","ukprod021","","10.22.28.43:443:vs_10019464_castlight_rest_int_https:external:p_29_30_8443;169.50.93.110:443:vs_10019464_castlight_rest_https:external:p_29_30_8443",\N,"UP"
"10.22.23.11","8643","REST","Prod","10019464","Castlight","ukprod021","","10.22.28.43:443:vs_10019464_castlight_rest_int_https:external:p_29_30_8443;169.50.93.110:443:vs_10019464_castlight_rest_https:external:p_29_30_8443",\N,"UP"
"10.22.23.11","8443","REST","Prod","10018988","ING NED","ukprod021","","10.22.28.23:443:vs_10018816_hsbcuk_rest_int_https:external:p_11_12_8443;10.22.28.70:443:vs_10020180_hsbc-uk_rest_int_https:external:p_11_12_8443;169.50.93.104:443:vs_10018816_hsbcuk_rest_https:external:p_11_12_8443",\N,"UP"
"10.22.23.11","8443","REST","Prod","10019108","HSBC UK Retail","ukprod021","","10.22.28.23:443:vs_10018816_hsbcuk_rest_int_https:external:p_11_12_8443;10.22.28.70:443:vs_10020180_hsbc-uk_rest_int_https:external:p_11_12_8443;169.50.93.104:443:vs_10018816_hsbcuk_rest_https:external:p_11_12_8443",\N,"UP"
"10.22.23.11","8443","REST","Prod","10020180","HSBC UK Retail PreProd","ukprod021","","10.22.28.23:443:vs_10018816_hsbcuk_rest_int_https:external:p_11_12_8443;10.22.28.70:443:vs_10020180_hsbc-uk_rest_int_https:external:p_11_12_8443;169.50.93.104:443:vs_10018816_hsbcuk_rest_https:external:p_11_12_8443",\N,"UP"
"10.22.23.11","8543","YSL","Prod","10018988","ING NED","ukprod021","releasevalue_kalam_5_10_","No information found in Load Balancer",\N,"UP"
"10.22.23.11","8543","YSL","Prod","10019108","HSBC UK Retail","ukprod021","releasevalue_kalam_5_10_","No information found in Load Balancer",\N,"UP"
